аа,8146,639
аб,646284,171
ав,1850439,72
аг,419810,228
ад,1139097,105
ае,917165,131
аё,4261,697
аж,651599,169
аз,1810274,74
аи,151719,340
ай,382889,236
ак,2444401,51
ал,4122610,14
ам,1870040,70
ан,3170297,30
ао,36533,499
ап,536209,196
ар,1698166,78
ас,2213300,59
ат,2864282,39
ау,104159,387
аф,106797,384
ах,592135,185
ац,396380,233
ач,612117,178
аш,506685,207
ащ,167434,335
аэ,13001,592
аю,618145,175
ая,1080275,108
ба,502297,208
бб,8787,629
бв,30279,515
бд,9311,622
бе,991249,123
бж,10259,613
бз,5506,669
би,498255,209
бк,61280,447
бл,516598,203
бм,22392,540
бн,201341,313
бо,1517618,82
бр,651266,170
бс,137643,352
бт,4612,688
бу,574863,187
бх,52016,464
бш,6928,648
бщ,197330,315
бъ,120811,371
бы,1470406,87
бь,18623,561
бэ,4705,685
бю,30515,514
бя,217984,303
ва,3485014,24
вб,6087,661
вв,38614,494
вг,28837,521
вд,140990,350
ве,2745369,44
вё,6884,650
вз,183028,327
ви,1687298,79
вк,216570,304
вл,691221,165
вм,81166,410
вн,837650,141
во,3679002,20
вп,131078,359
вр,461063,218
вс,1325448,94
вт,213790,307
ву,416928,230
вх,25145,533
вц,21138,549
вч,32868,508
вш,291736,264
вщ,12634,598
вы,1491179,85
вь,93451,396
вя,190874,318
га,767374,155
гб,4542,690
гв,11522,603
гг,8240,636
гд,527269,198
ге,328899,253
ги,610113,179
гк,57975,453
гл,600810,182
гм,11548,602
гн,125698,365
го,4087992,15
гр,658131,167
гс,13132,591
гт,9484,619
гу,322111,255
гч,15465,579
да,2555297,50
дб,17961,563
дв,417153,229
дг,26458,527
дд,40368,487
де,2799748,42
дё,11403,604
дж,79990,412
дз,19859,554
ди,1488226,86
дк,160034,336
дл,460217,219
дм,69025,430
дн,1039486,117
до,2157311,60
дп,101066,390
др,626853,173
дс,334671,250
дт,67583,436
ду,916890,132
дх,27720,525
дц,91529,398
дч,35448,503
дш,38910,493
дъ,19527,557
ды,377512,239
дь,224439,296
дю,12857,594
дя,185412,322
еа,125049,366
еб,577204,186
ев,1068095,111
ег,1408718,90
ед,1935815,65
ее,701614,162
её,14850,583
еж,462909,217
ез,752248,157
еи,76545,419
ей,1321751,95
ек,993048,122
ел,3106510,31
ёл,14113,588
ем,2338387,55
ём,18268,562
ен,5189907,6
ён,22181,545
ео,220445,301
еп,487579,212
ер,3638393,21
ёр,12077,599
ес,2878245,38
ет,3307969,27
ёт,25135,534
еу,55963,457
еф,90125,401
ех,356392,245
ец,207818,310
еч,616467,176
еш,434389,224
ещ,338849,247
ею,73602,423
ея,120285,372
жа,530793,197
жб,30141,516
жг,5324,673
жд,508324,206
же,1821313,73
жё,5297,675
жж,5239,676
жи,808473,147
жк,76173,421
жл,5842,666
жм,5597,668
жн,594967,184
жо,36050,500
жр,5416,671
жс,16465,573
жу,126374,364
жч,23405,537
жь,17670,566
за,2670888,47
зб,87851,403
зв,536986,194
зг,132986,356
зд,481168,214
зе,249775,283
зж,40284,488
зз,8464,632
зи,382699,237
зк,84581,405
зл,143545,346
зм,286199,267
зн,922793,129
зо,464937,216
зр,209408,309
зс,14707,584
зт,6691,653
зу,263040,277
зц,8344,635
зч,8985,625
зъ,11159,606
зы,294875,263
зь,57888,454
зю,4980,680
зя,134750,354
иа,279618,270
иб,260858,279
ив,1340779,92
иг,359433,244
ид,780927,152
ие,1610394,80
иж,177955,330
из,1494881,84
ии,911508,133
ий,972401,125
ик,1437934,89
ил,2335238,56
им,1749666,76
ин,2384696,53
ио,377613,238
ип,176682,331
ир,871113,138
ис,1862616,71
ит,2612768,48
иу,19040,560
иф,81266,409
их,1142007,102
иц,494179,211
ич,1060816,112
иш,287906,266
ищ,102239,389
иэ,4962,681
ию,321922,256
ия,1447234,88
йб,5967,665
йг,4367,692
йд,77314,415
йе,8200,638
йз,6654,655
йк,68883,431
йл,21658,546
йм,26611,526
йн,211418,308
йо,36841,495
йр,4654,686
йс,387428,234
йт,127187,363
йф,5069,678
йц,25963,529
йч,91116,400
йш,60713,448
ка,3753269,19
кв,184716,324
кг,9016,624
кд,6015,663
ке,407683,231
кж,52258,462
кз,19700,556
ки,2061205,62
кк,21598,547
кл,446340,222
км,10423,611
кн,188660,320
ко,5117773,8
кп,9747,617
кр,943075,128
кс,269549,272
кт,725392,159
ку,1033571,118
кц,113108,380
кш,8511,631
ла,2960226,34
лб,16436,574
лв,6960,647
лг,83676,406
лд,31814,510
ле,2925023,36
лё,14266,586
лж,158349,338
лз,11806,601
ли,3866502,18
лк,199563,314
лл,186323,321
лм,12682,595
лн,239271,291
ло,2912925,37
лп,16383,575
лр,6775,652
лс,513645,205
лт,44343,481
лу,729318,158
лх,8211,637
лч,47264,472
лш,4801,684
лы,319477,257
ль,2819650,41
лю,598858,183
ля,1073751,110
ма,1765557,75
мб,48137,469
мв,17584,567
мг,16757,571
ме,2346193,54
ми,1914722,67
мк,73147,424
мл,128034,361
мм,119473,373
мн,705437,161
мо,2122362,61
мп,189670,319
мр,22321,542
мс,97066,393
мт,4402,691
му,1051209,113
мф,11330,605
мц,17255,570
мч,17269,569
мы,724184,160
мь,59128,450
мэ,11015,608
мя,243924,287
на,5928622,4
нб,9457,620
нв,39510,492
нг,121766,370
нд,336677,249
не,4805426,11
нё,8525,630
нж,15854,578
нз,29051,519
ни,5157969,7
нк,374477,241
нн,1897247,68
но,6436135,3
нп,6087,662
нр,39895,490
нс,521114,200
нт,806817,148
ну,1156929,100
нф,79962,413
нх,7691,644
нц,273297,271
нч,99327,392
нш,9961,615
нщ,55262,459
ны,2714057,45
нь,537143,193
нэ,4347,694
ню,80682,411
ня,768863,154
оа,22883,538
об,2221408,58
ов,4901938,10
ог,2773312,43
од,3090910,32
ое,1160543,99
оё,6121,660
ож,1082000,107
оз,840457,140
ои,515750,204
ой,2431895,52
ок,1214259,97
ол,3375143,26
ом,3209060,29
он,2942617,35
оо,222118,300
оп,922532,130
ор,3415027,25
ос,3966047,17
от,3510602,23
оу,45965,475
оф,156020,339
ох,291336,265
оц,178877,329
оч,982203,124
ош,433712,225
ощ,144122,345
оэ,78167,414
ою,119158,374
оя,384812,235
па,961412,126
пе,1401258,91
пи,655135,168
пк,57839,455
пл,536216,195
пн,82145,408
по,5212731,5
пп,77159,417
пр,4179260,13
пс,52071,463
пт,60657,449
пу,431907,226
пц,14382,585
пч,10646,610
пш,5025,679
пы,175479,334
пь,47775,471
пя,124971,367
ра,5048021,9
рб,69789,428
рв,257003,280
рг,261832,278
рд,158407,337
ре,3989734,16
рё,6915,649
рж,192740,317
рз,22359,541
ри,2820329,40
рк,232599,293
рл,56161,456
рм,334205,251
рн,570726,188
ро,4714358,12
рп,66086,437
рр,63830,443
рс,314420,259
рт,484158,213
ру,1583604,81
рф,35575,502
рх,100386,391
рц,36565,496
рч,58210,451
рш,121912,369
рщ,12644,597
ры,828626,143
рь,263595,276
рэ,7311,646
рю,68362,433
ря,524450,199
са,1003667,121
сб,50449,466
св,753802,156
сг,15211,580
сд,110058,382
се,1889506,69
сё,31728,511
сж,8816,628
сз,5364,672
си,1150205,101
ск,2586828,49
сл,1503147,83
см,423200,227
сн,615677,177
со,1915082,66
сп,1080027,109
ср,254518,282
сс,791981,150
ст,7173707,1
су,602809,181
сф,40147,489
сх,113061,381
сц,45985,474
сч,183420,325
сш,68736,432
съ,20327,551
сы,213995,305
сь,1228030,96
сэ,6014,664
сю,67967,434
ся,2001670,64
та,3636025,22
тб,26075,528
тв,1717885,77
тг,7467,645
тд,88584,402
те,3288502,28
тё,8114,640
тз,5303,674
ти,2688091,46
тк,401567,232
тл,131399,357
тм,58190,452
тн,821490,146
то,6718190,2
тп,45948,476
тр,2017218,63
тс,1042223,116
тт,45108,479
ту,880925,135
тф,7750,643
тх,10171,614
тц,29942,518
тч,65243,440
тш,4342,695
тщ,8441,633
тъ,5705,667
ты,856496,139
ть,3036424,33
тэ,4833,683
тю,40832,485
тя,303112,261
уа,95653,394
уб,376142,240
ув,264145,275
уг,517220,202
уд,1008986,119
уе,185154,323
уж,700853,163
уз,196422,316
уи,16185,576
уй,50823,465
ук,458893,220
ул,663580,166
ум,494487,210
ун,239837,289
уо,5421,670
уп,452891,221
ур,569071,189
ус,796350,149
ут,825669,145
уф,13507,590
ух,219221,302
уц,16499,572
уч,635740,172
уш,314781,258
ущ,224286,297
уэ,9549,618
ую,692632,164
уя,30056,517
фа,143389,347
фг,4278,696
фе,246642,286
фи,307918,260
фл,36542,498
фн,4365,693
фо,285586,268
фр,94618,395
фс,12992,593
фт,28953,520
фу,48746,468
фф,33459,507
фы,8369,634
фь,5156,677
ха,336899,248
хв,82288,407
хг,4629,687
хе,41242,484
хи,150592,341
хл,65378,439
хм,28737,522
хн,146281,344
хо,1139461,104
хр,129409,360
хс,35982,501
хт,19814,555
ху,86495,404
хх,6686,654
хш,4543,689
ца,300342,262
цв,45666,477
це,622031,174
ци,954434,127
цк,49083,467
цо,93246,397
цу,72522,425
цы,114503,378
ча,1124769,106
чв,6421,657
че,2268576,57
чё,17794,565
чи,1047351,114
чк,228068,295
чл,27773,523
чн,603811,180
чо,33949,505
чр,19885,553
чт,1330584,93
чу,248680,284
чш,63645,444
чь,106684,385
ша,438095,223
шв,19056,559
ше,1044240,115
шё,8948,626
ши,789189,151
шк,264592,274
шл,246970,285
шм,9133,623
шн,183192,326
шо,138671,351
шп,11078,607
шр,6250,658
шт,76222,420
шу,134712,355
шь,239493,290
ща,223845,298
ще,884124,134
щё,19912,552
щи,540936,192
щн,41714,483
щу,65529,438
щь,25188,532
ъе,114416,379
ъя,64450,442
ыб,115247,377
ыв,552762,191
ыг,61603,446
ыд,76868,418
ые,878830,136
ыж,22491,539
ыз,43633,482
ыи,7885,642
ый,873612,137
ык,122620,368
ыл,829169,142
ым,773260,153
ын,136111,353
ып,109966,383
ыр,143384,348
ыс,366505,242
ыт,363384,243
ых,1003687,120
ыч,91197,399
ыш,222220,299
ыщ,6144,659
ыя,20553,550
ьб,62475,445
ьв,15069,582
ьг,52438,461
ьд,31358,513
ье,229001,294
ьз,116710,376
ьи,47784,470
ьк,519655,201
ьм,131111,358
ьн,1185471,98
ьо,9449,621
ьп,6797,651
ьс,555897,190
ьт,127804,362
ьф,10354,612
ьц,55530,458
ьч,34513,504
ьш,284207,269
ьщ,8058,641
ью,238356,292
ья,176300,333
эв,10761,609
эд,11849,600
эз,6650,656
эй,9960,616
эк,142412,349
эл,69389,429
эм,25904,530
эн,44486,480
эп,25341,531
эр,33543,506
эс,22321,543
эт,1140522,103
эф,31539,512
эх,4906,682
юб,182179,328
юг,12660,596
юд,206304,311
юж,17290,568
юз,32395,509
юк,24337,535
юл,22320,544
юм,27743,524
юн,36551,497
юр,71132,427
юс,74982,422
ют,469868,215
юх,8886,627
юц,21393,548
юч,103016,388
юш,17816,564
ющ,348512,246
юю,16123,577
яб,40581,486
яв,240098,288
яг,52846,460
яд,255296,281
яе,176507,332
яж,77250,416
яз,201526,312
яи,14173,587
яй,39718,491
як,106164,386
ял,333183,252
ям,265964,273
ян,326140,254
яп,24154,536
яр,64554,441
яс,213889,306
ят,826192,144
ях,146375,343
яц,45320,478
яч,72255,426
яш,13792,589
ящ,148840,342
яю,116793,375
яя,46318,473
