1	и	38310.45	14345348
2	в	30273.03	11335734
3	не	17480.6	    6545609
4	на	15322.28	5737426
5	я	13348.58	4998377
6	он	13213.3	    4947719
7	быть	12935.22	4843591
8	что	12485.16	4675069
9	с	11360.05	4253772
10	а	7518.96	2815475
11	как	6691.76	2505731
12	то	6038.37	2261069
13	она	5949.22	2227685
14	к	5835.86	2185239
15	этот	5633.9	2109612
16	это	5600.41	2097072
17	по	5579.17	2089119
18	но	5507.88	2062425
19	они	5116.76	1915969
20	мы	4734.62	1772879
21	свой	4589.61	1718580
22	который	4548.53	1703197
23	из	4457.93	1669273
24	весь	4315.84	1616065
25	у	4198.37	1572078
26	за	3971.65	1487183
27	от	3920.34	1467970
28	все	3654.09	1368273
29	о	3636.74	1361776
30	так	3625.83	1357693
31	же	3463.8	1297018
32	вы	3106.93	1163388
33	для	3071.22	1150019
34	мочь	3043.11	1139491
35	ты	2987.8	1118783
36	год	2969.16	1111801
37	один	2965.12	1110290
38	его	2947.41	1103656
39	тот	2927.96	1096373
40	человек	2896.06	1084431
41	только	2683.1	1004688
42	такой	2571.58	962928
43	бы	2532.01	948112
44	себя	2499.64	935991
45	сказать	2457.47	920200
46	еще	2402.68	899685
47	мой	2182.33	817174
48	или	2156.26	807411
49	говорить	2139.27	801050
50	до	2120.58	794052
51	время	2051.68	768251
52	уже	2023.87	757837
53	когда	2020.56	756600
54	другой	2011.69	753279
55	наш	1916.88	717777
56	да	1748.33	654661
57	если	1730.23	647885
58	знать	1721.39	644576
59	вот	1650.73	618116
60	сам	1650.64	618081
61	ни	1593	596498
62	день	1563.1	585302
63	дело	1557.04	583032
64	при	1503.94	563150
65	стать	1489.4	557706
66	чтобы	1486.88	556761
67	самый	1472.09	551223
68	жизнь	1420.36	531854
69	очень	1404.41	525880
70	нет	1403.18	525422
71	во	1384.86	518561
72	даже	1373.45	514289
73	два	1362.43	510161
74	рука	1312.93	491628
75	ее	1297.67	485912
76	первый	1275.71	477689
77	ли	1214.48	454761
78	под	1175.54	440182
79	со	1173.43	439392
80	кто	1167.58	437200
81	где	1163.31	435603
82	новый	1151.78	431285
83	слово	1141.8	427548
84	какой	1135.03	425011
85	раз	1117.76	418547
86	теперь	1077.7	403544
87	их	1073.79	402082
88	идти	1073.58	402002
89	без	1066.08	399192
90	после	1055.9	395383
91	иметь	1052.73	394195
92	там	1040.55	389633
93	ничто	1036.25	388024
94	должен	1009	377820
95	большой	1004.63	376185
96	видеть	1000.35	374580
97	место	988.39	370104
98	хотеть	985.92	369179
99	можно	966.1	361755
100	глаз	958.51	358913
